"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.164","Wholesale Farmers and Alternative Market Development","Department of Agriculture / Agricultural Marketing Service","K - ADVISORY SERVICES AND COUNSELING, M - TRAINING","9/17/2010 7:35","1/1/1982 0:00"
"10.165","Perishable Agricultural Commodities Act","Department of Agriculture / Agricultural Marketing Service","N - INVESTIGATION OF COMPLAINTS","9/17/2010 7:35","1/1/1982 0:00"
"10.167","Transportation Services","Department of Agriculture / Agricultural Marketing Service","K - ADVISORY SERVICES AND COUNSELING, M - TRAINING","9/17/2010 7:35","1/1/1991 0:00"
"10.168","Farmers' Market Promotion Program","Department of Agriculture / Agricultural Marketing Service","B - PROJECT GRANTS","9/17/2010 7:35","1/1/2006 0:00"
"10.169","Specialty Crop Block Grant Program","Department of Agriculture / Agricultural Marketing Service","B - PROJECT GRANTS","9/17/2010 7:36","1/1/2006 0:00"
"10.170","Specialty Crop Block Grant Program - Farm Bill","Department of Agriculture / Agricultural Marketing Service","B - PROJECT GRANTS","9/17/2010 7:36","1/1/2008 0:00"
"10.200","Grants for Agricultural Research, Special Research Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS","9/14/2010 14:37","1/1/1969 0:00"
"10.202","Cooperative Forestry Research","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS","9/15/2010 7:51","1/1/1970 0:00"
"10.203","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS","9/15/2010 7:52","1/1/1970 0:00"
"10.205","Payments to 1890 Land-Grant Colleges and Tuskegee University","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS","9/14/2010 14:38","1/1/1981 0:00"
"10.206","Grants for Agricultural Research_Competitive Research Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS","8/13/2010 13:46","1/1/1981 0:00"
"10.207","Animal Health and Disease Research","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS","8/17/2010 12:37","1/1/1981 0:00"
"10.210","Food and Agricultural Sciences National Needs Graduate Fellowship Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS","9/17/2010 9:28","1/1/1985 0:00"
"10.212","Small Business Innovation Research","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS","8/17/2010 14:57","1/1/1986 0:00"
"10.215","Sustainable Agriculture Research and Education","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS","8/17/2010 14:57","1/1/1988 0:00"
"10.216","1890 Institution Capacity Building Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS","9/14/2010 14:38","1/1/1990 0:00"
"10.217","Higher Education Challenge Grants","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS","8/17/2010 14:58","1/1/1990 0:00"
"10.219","Biotechnology Risk Assessment Research","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/14/2010 14:39","1/1/1993 0:00"
"10.220","Higher Education Multicultural Scholars Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","8/18/2010 10:06","1/1/1994 0:00"
"10.221","Tribal Colleges Education Equity Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/14/2010 14:39","1/1/1997 0:00"
"10.222","Tribal Colleges Endowment Program","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS","8/18/2010 10:35","1/1/1997 0:00"
"10.223","Hispanic Serving Institutions Education Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","8/18/2010 10:39","1/1/1997 0:00"
"10.225","Community Food Projects","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/17/2010 7:36","1/1/1997 0:00"
"10.226","Secondary and Two-Year Postsecondary Agriculture Education Challenge Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","8/18/2010 11:31","1/1/1999 0:00"
"10.227","1994 Institutions Research Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Cooperative Agreements)","8/18/2010 12:55","1/1/2000 0:00"
"10.228","Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","8/18/2010 12:56","1/1/2001 0:00"
"10.250","Agricultural and Rural Economic Research","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION","10/30/2008 0:00","1/1/1969 0:00"
"10.253","Food Assistance and Nutrition Research Programs (FANRP)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION","10/30/2008 0:00","1/1/2008 0:00"
"10.254","Program of Research on the Economic of Invasive Species Management (PREISM)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION","10/30/2008 0:00","1/1/2008 0:00"
"10.255","Research Innovation and Development Grants in Economic (RIDGE)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION","10/30/2008 0:00","1/1/2008 0:00"
"10.256","Consumer Data Initiative (CDI)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION","5/21/2010 13:44","1/1/2007 0:00"
"10.290","Agricultural Market and Economic Research","Department of Agriculture / The Office of the Chief Economist","B - PROJECT GRANTS","1/15/2010 9:54","1/1/2008 0:00"
"10.303","Integrated Programs","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/14/2010 14:40","1/1/2000 0:00"
"10.304","Homeland Security_Agricultural","Department of Agriculture / National Institute of Food and Agriculture","B - Cooperative Agreements","8/18/2010 13:17","1/1/2004 0:00"
"10.305","International Science and Education Grants","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","8/18/2010 13:22","1/1/2005 0:00"
"10.306","Biodiesel","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","8/18/2010 13:30","1/1/2005 0:00"
"10.307","Organic Agriculture Research and Extension Initiative","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","8/18/2010 13:50","1/1/2005 0:00"
"10.308","Resident Instruction Grants for Insular Area Activities","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/15/2010 7:54","1/1/2005 0:00"
"10.309","Specialty Crop Research Initiative","Department of Agriculture / National Institute of Food and Agriculture","B - PROJECT GRANTS","8/19/2010 7:33","1/1/2008 0:00"
"10.310","Agriculture and Food Research Initiative (AFRI)","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/17/2010 9:28","7/15/2009 10:06"
"10.311","Beginning Farmer and Rancher Development Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","8/19/2010 7:35","7/15/2009 10:23"
"10.312","Biomass Research and Development Initiative Competitive Grants Program (BRDI)","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/14/2010 14:47","7/15/2009 10:20"
"10.313","Veterinary Medicine Loan Repayment Program","Department of Agriculture / National Institute of Food and Agriculture","C - Direct Payments for Specified Use","9/15/2010 7:56","8/2/2010 6:57"
"10.314","New ERA Rural Technology Competitive Grants Program","Department of Agriculture / National Institute of Food and Agriculture","B - Cooperative Agreements (Discretionary Grants), B - Project Grants","8/19/2010 12:52","6/4/2009 16:49"
"10.315","Trade Adjustment Assistance for Farmers Training Coordination Program (TAAF)","Department of Agriculture / National Institute of Food and Agriculture","B - Cooperative Agreements","8/24/2010 7:31","8/19/2009 11:38"
"10.316","Healthy Urban Food Enterprise Development Center (HUFED)","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/17/2010 7:37","7/10/2009 9:39"
"10.317","Food Aid Nutrition Enhancement Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Discretionary)","8/20/2010 9:25","3/1/2010 8:09"
"10.318","Women and Minorities in Science, Technology, Engineering, and","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants","9/14/2010 14:41","3/24/2010 7:23"
"10.319","Farm Business Management and Benchmarking Competitive Grants Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Cooperative Agreements)","9/17/2010 9:29","3/17/2010 14:06"
"10.320","Sun Grant Program","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants (Cooperative Agreements)","9/14/2010 14:41","3/24/2010 7:24"
"10.350","Technical Assistance to Cooperatives","Department of Agriculture / Rural Development","J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING","8/2/2005 0:00","1/1/1965 0:00"
"10.352","Value-Added Producer Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS","9/23/2010 7:51","1/1/2005 0:00"
"10.404","Emergency Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS","9/1/2010 9:28","1/1/1965 0:00"
"10.405","Farm Labor Housing Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, F - GUARANTEED/INSURED LOANS","7/6/2010 6:25","1/1/1965 0:00"
"10.406","Farm Operating Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS","8/23/2010 8:58","1/1/1965 0:00"
"10.407","Farm Ownership Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS","8/23/2010 8:59","1/1/1965 0:00"
"10.410","Very Low to Moderate Income Housing Loans","Department of Agriculture / Rural Development","E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS","8/26/2010 7:46","1/1/1965 0:00"
"10.411","Rural Housing Site Loans and Self_Help Housing Land Development Loans","Department of Agriculture / Rural Development","E - DIRECT LOANS","9/9/2010 8:37","1/1/1969 0:00"
"10.415","Rural Rental Housing Loans","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS","8/9/2010 8:07","1/1/1967 0:00"
"10.417","Very Low-Income Housing Repair Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS","8/23/2010 9:00","1/1/1970 0:00"
"10.420","Rural Self-Help Housing Technical Assistance","Department of Agriculture / Rural Development","B - PROJECT GRANTS","8/23/2010 9:00","1/1/1970 0:00"
"10.421","Indian Tribes and Tribal Corporation Loans","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS","10/30/2008 0:00","1/1/1971 0:00"
"10.427","Rural Rental Assistance Payments","Department of Agriculture / Rural Development","C - DIRECT PAYMENTS FOR A SPECIFIED USE","8/13/2009 7:39","1/1/1978 0:00"
"10.433","Rural Housing Preservation Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS","8/23/2010 9:01","1/1/1986 0:00"
"10.435","State Mediation Grants","Department of Agriculture / Farm Service Agency","B - PROJECT GRANTS","8/30/2010 9:52","1/1/1988 0:00"
"10.437","Interest Assistance Program","Department of Agriculture / Farm Service Agency","F - GUARANTEED/INSURED LOANS","9/1/2010 9:29","1/1/1989 0:00"
"10.438","Section 538 Rural Rental Housing Guaranteed Loans","Department of Agriculture / Rural Development","F - GUARANTEED/INSURED LOANS","9/10/2010 7:42","1/1/1989 0:00"
"10.441","Technical and Supervisory Assistance Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS","8/23/2010 9:01","1/1/1993 0:00"
"10.442","Housing Application Packaging Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS","8/23/2010 9:02","1/1/1994 0:00"
"10.443","Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers","Department of Agriculture / Departmental Management","B - PROJECT GRANTS","8/27/2010 7:46","1/1/1994 0:00"
"10.444","Direct Housing_Natural Disaster Loans and Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS","8/23/2010 9:03","1/1/1998 0:00"
"10.445","Direct Housing_Natural Disaster","Department of Agriculture / Rural Development","E - DIRECT LOANS","8/23/2010 9:03","1/1/1998 0:00"
"10.446","Rural Community Development Initiative","Department of Agriculture / Rural Development","B - PROJECT GRANTS","9/7/2010 18:40","1/1/2001 0:00"
"10.447","The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR)","Department of Agriculture / Rural Housing Service","B - PROJECT GRANTS","9/7/2010 18:40","1/1/2007 0:00"
"10.448","Rural Development Multi-Family Housing Rural Housing Voucher Demonstration Program","Department of Agriculture / Rural Development","C - Direct Payments for Specified Use","9/8/2010 12:23","10/14/2009 7:46"
"10.449","Boll Weevil Eradication Loan Program","Department of Agriculture / Farm Service Agency","E - DIRECT LOANS","8/23/2010 9:04","1/1/2000 0:00"
"10.450","Crop Insurance","Department of Agriculture / Risk Management Agency","G - INSURANCE","9/12/2008 0:00","1/1/1969 0:00"
"10.451","Noninsured Assistance","Department of Agriculture / Farm Service Agency","D - DIRECT PAYMENTS WITH UNRESTRICTED USE","8/30/2010 9:57","1/1/1997 0:00"
"10.455","Community Outreach and Assistance Partnership Program","Department of Agriculture / Risk Management Agency","L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING","9/12/2008 0:00","1/1/2004 0:00"
"10.456","Partnership Agreements to Develop Non-Insurance Risk Management Tools for Producers (Farmers)","Department of Agriculture / Risk Management Agency","B - PROJECT GRANTS","8/30/2010 9:58","1/1/2004 0:00"
"10.458","Crop Insurance Education in Targeted States","Department of Agriculture / Risk Management Agency","B - PROJECT GRANTS","10/8/2008 0:00","1/1/2004 0:00"
"10.459","Commodity Partnerships for Small Agricultural Risk Management Education Sessions","Department of Agriculture / Risk Management Agency","B - PROJECT GRANTS","10/8/2008 0:00","1/1/2005 0:00"
"10.475","Cooperative Agreements with States for Intrastate Meat and Poultry Inspection","Department of Agriculture / Food Safety and Inspection Service","B - PROJECT GRANTS","8/30/2010 9:58","1/1/1977 0:00"
"10.477","Meat, Poultry, and Egg Products Inspection","Department of Agriculture / Food Safety and Inspection Service","J - PROVISION OF SPECIALIZED SERVICES","8/30/2010 10:00","1/1/1977 0:00"
"10.479","Food Safety Cooperative Agreements","Department of Agriculture / Food Safety and Inspection Service","B - PROJECT GRANTS","8/30/2010 10:00","1/1/2006 0:00"
"10.500","Cooperative Extension Service","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS, B - PROJECT GRANTS","9/14/2010 14:40","1/1/1970 0:00"
"10.551","Supplemental Nutrition Assistance Program","Department of Agriculture / Food and Nutrition Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE","8/26/2010 7:50","1/1/1965 0:00"
"10.553","School Breakfast Program","Department of Agriculture / Food and Nutrition Service","A - Formula Grants (Apportionments)","8/13/2010 7:46","1/1/1967 0:00"
"10.555","National School Lunch Program","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","8/13/2010 7:46","1/1/1965 0:00"
"10.556","Special Milk Program for Children","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","8/13/2010 7:46","1/1/1965 0:00"
"10.557","Special Supplemental Nutrition Program for Women, Infants, and Children","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","8/23/2010 9:04","1/1/1974 0:00"
"10.558","Child and Adult Care Food Program","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","8/19/2010 7:36","1/1/1976 0:00"
"10.559","Summer Food Service Program for Children","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","8/18/2010 7:46","1/1/1976 0:00"
"10.560","State Administrative Expenses for Child Nutrition","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","8/19/2010 7:37","1/1/1977 0:00"
"10.561","State Administrative Matching Grants for the Supplemental Nutrition Assistance Program","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","8/26/2010 7:53","1/1/1977 0:00"
"10.565","Commodity Supplemental Food Program","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS","8/18/2010 7:46","1/1/1979 0:00"
"10.566","Nutrition Assistance For Puerto Rico","Department of Agriculture / Food and Nutrition Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE","8/26/2010 7:55","1/1/1983 0:00"
"10.567","Food Distribution Program on Indian Reservations","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS","8/9/2010 8:12","1/1/1983 0:00"
"10.568","Emergency Food Assistance Program (Administrative Costs)","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS, B - Project Grants","8/16/2010 9:11","1/1/1984 0:00"
"10.569","Emergency Food Assistance Program (Food Commodities)","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","8/16/2010 9:12","1/1/1989 0:00"
"10.572","WIC Farmers' Market Nutrition Program (FMNP)","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS","7/18/2010 22:51","1/1/1993 0:00"
"10.574","Team Nutrition Grants","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS","8/23/2010 9:05","1/1/1997 0:00"
"10.576","Senior Farmers Market Nutrition Program","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS","7/18/2010 22:51","1/1/2004 0:00"
"10.578","WIC Grants To States (WGS)","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS","8/23/2010 9:06","1/1/2004 0:00"
"10.579","Child Nutrition Discretionary Grants Limited Availability","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS","8/23/2010 9:06","1/1/2004 0:00"
"10.580","Supplemental Nutrition Assistance Program, Outreach/Participation Program","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS","8/26/2010 7:59","1/1/2004 0:00"
"10.582","Fresh Fruit and Vegetable Program","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS","8/13/2010 7:46","1/1/2005 0:00"
"10.583","Hunger Free Communities","Department of Agriculture / Food and Nutrition Service","B - Cooperative Agreements (Discretionary Grants)","4/15/2010 7:31","4/15/2010 7:31"
"10.585","FNS Food Safety Grants","Department of Agriculture / Food and Nutrition Service","B - Cooperative Agreements (Discretionary Grants)","8/23/2010 9:07","3/17/2010 14:05"
"10.600","Foreign Market Development Cooperator Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE","10/30/2008 0:00","1/1/1967 0:00"
"10.601","Market Access Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE","9/15/2008 0:00","1/1/1987 0:00"
"10.603","Emerging Markets Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE","10/30/2008 0:00","1/1/2002 0:00"
"10.604","Technical Assistance for Specialty Crops Program","Department of Agriculture / Foreign Agricultural Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE","9/15/2008 0:00","1/1/2004 0:00"
"10.605","Quality Samples Program","Department of Agriculture","C - DIRECT PAYMENTS FOR A SPECIFIED USE","9/15/2008 0:00","1/1/2004 0:00"
"10.606","Food for Progress","Department of Agriculture / Foreign Agricultural Service","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS","9/15/2008 0:00","1/1/2003 0:00"
"10.608","Food for Education","Department of Agriculture / Foreign Agricultural Service","H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS","10/30/2008 0:00","1/1/2003 0:00"
"10.609","Trade Adjustment Assistance","Department of Agriculture / Foreign Agricultural Service","D - DIRECT PAYMENTS WITH UNRESTRICTED USE","11/13/2008 0:00","1/1/2004 0:00"
"10.652","Forestry Research","Department of Agriculture / Forest Service","B - PROJECT GRANTS","8/18/2010 13:37","1/1/1970 0:00"
"10.664","Cooperative Forestry Assistance","Department of Agriculture / Forest Service","A - FORMULA GRANTS, B - PROJECT GRANTS","8/17/2010 15:57","1/1/1978 0:00"
"10.665","Schools and Roads - Grants to States","Department of Agriculture / Forest Service","A - FORMULA GRANTS","8/26/2010 8:04","1/1/1980 0:00"
"10.666","Schools and Roads - Grants to Counties","Department of Agriculture / Forest Service","A - Formula Grants","8/26/2010 8:06","10/7/2009 8:24"
"10.672","Rural Development, Forestry, and Communities","Department of Agriculture / Forest Service","B - PROJECT GRANTS","8/6/2010 14:58",
"10.674","Forest Products Lab: Technology Marketing Unit  (TMU)","Department of Agriculture / Forest Service","B - PROJECT GRANTS","8/9/2010 8:26","1/1/2003 0:00"
"10.675","Urban and Community Forestry Program","Department of Agriculture / Forest Service","B - PROJECT GRANTS","8/16/2010 11:03","1/1/2003 0:00"
"10.676","Forest Legacy Program","Department of Agriculture / Forest Service","B - PROJECT GRANTS","8/25/2010 9:37","1/1/2003 0:00"
"10.678","Forest Stewardship Program","Department of Agriculture / Forest Service","B - PROJECT GRANTS","8/18/2010 7:46","1/1/2003 0:00"
"10.679","Collaborative Forest Restoration","Department of Agriculture / Forest Service","B - PROJECT GRANTS","9/17/2010 7:32","1/1/2005 0:00"
"10.680","Forest Health Protection","Department of Agriculture / Forest Service","A - FORMULA GRANTS, B - PROJECT GRANTS","8/18/2010 7:47","1/1/2005 0:00"
"10.681","Wood  Education and Resource  Center (WERC)","Department of Agriculture / Forest Service","B - Project Grants (Discretionary)","8/18/2010 10:19","1/1/2008 0:00"
"10.682","National Forest Foundation","Department of Agriculture / Forest Service","C - Direct Payments for Specified Use","8/18/2010 7:47","10/1/2009 7:46"
"10.683","National Fish and Wildlife Foundation","Department of Agriculture / Forest Service","C - Direct Payments for Specified Use","8/16/2010 11:13","10/1/2009 7:49"
"10.684","International Forestry Programs","Department of Agriculture / Forest Service","B - PROJECT GRANTS","8/25/2010 9:37","1/1/2008 0:00"
"10.687","Recovery Act of 2009: Capital Improvement and Maintenance","Department of Agriculture / Forest Service","B - Cooperative Agreements, B - Project Grants","8/18/2010 7:49","9/22/2009 13:02"
"10.688","Recovery Act of 2009: Wildland Fire Management","Department of Agriculture / Forest Service","B - Cooperative Agreements, B - Project Grants","8/18/2010 10:08","9/22/2009 13:11"
"10.689","Community Forest and Open Space Conservation Program (CFP)","Department of Agriculture / Forest Service","B - Project Grants (Discretionary)","8/16/2010 11:16","10/1/2009 7:49"
"10.690","Lake Tahoe Erosion Control Grant Program","Department of Agriculture / Forest Service","B - Project Grants","8/16/2010 11:16","9/22/2009 13:18"
"10.691","Good Neighbor Authority","Department of Agriculture / Forest Service","B - Cooperative Agreements (Discretionary Grants)","8/16/2010 11:17","10/1/2009 7:50"
"10.693","Watershed Restoration and Enhancement Agreement Authority","Department of Agriculture / Forest Service","B - Cooperative Agreements","8/16/2010 11:18","12/20/2009 17:32"
"10.694","Southwest Forest Health and Wildfire Prevention","Department of Agriculture / Forest Service","C - Direct Payments for Specified Use","5/21/2010 7:51","5/21/2010 7:51"
"10.695","EASTERN NEVADA LANDSCAPE RESTORATION PROJECT (ENLRP)","Department of Agriculture / Forest Service","B - Project Grants","6/15/2010 13:47","6/15/2010 13:47"
"10.700","National Agricultural Library","Department of Agriculture / Agricultural Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION","7/28/2010 7:41","1/1/1969 0:00"
"10.759","Part 1774  Special Evaluation Assistance for Rural Communities and Households Program (SEARCH)","Department of Agriculture / Rural Development","B - Project Grants","9/7/2010 18:41","9/9/2009 11:18"
"10.760","Water and Waste Disposal Systems for Rural Communities","Department of Agriculture / Rural Development","B - PROJECT GRANTS, E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS","9/8/2010 12:24","1/1/1993 0:00"
"10.761","Technical Assistance and Training Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS","9/8/2010 12:24","1/1/1993 0:00"
"10.762","Solid Waste Management Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS","9/8/2010 12:25","1/1/1993 0:00"
"10.763","Emergency Community Water Assistance Grants","Department of Agriculture / Rural Development","B - PROJECT GRANTS","9/8/2010 12:25","1/1/1993 0:00"
